Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Total_Revolving_Bal,Avg_Utilization_Ratio,Total_Relationship_Count,Total_Amt_Chng_Q4_Q1,Credit_Limit,Customer_Age,Marital_Status,Attrition_Flag
4527,66,0.61,0,0.0,6,0.954,1991.0,49,1,0
1872,34,1.125,1101,0.185,6,0.942,5940.0,38,3,0
4878,84,0.826,691,0.389,3,0.878,1776.0,47,3,0
5938,83,0.694,0,0.0,1,0.856,4209.0,52,1,0
1612,47,1.474,0,0.0,5,0.89,4668.0,46,3,0
2514,32,0.684,1992,0.086,6,0.759,23034.0,39,1,0
3593,64,1.0,0,0.0,4,0.759,2544.0,48,3,0
1756,35,0.25,2099,0.061,4,0.449,34516.0,50,3,0
3835,60,0.818,2271,0.867,4,0.61,2619.0,46,3,0
1588,36,0.714,1394,0.36,3,0.827,3870.0,34,3,0
2220,50,0.562,0,0.0,3,0.528,1495.0,51,1,1
3527,69,0.816,851,0.117,2,0.814,7264.0,63,1,0
15999,109,0.73,0,0.0,2,0.776,4755.0,50,3,0
3448,53,1.038,1629,0.047,3,1.078,34516.0,39,3,0
1640,37,0.762,786,0.261,6,1.081,3017.0,49,0,0
2336,58,0.611,947,0.124,4,0.682,7638.0,37,1,0
2433,41,1.158,644,0.103,5,1.06,6250.0,49,3,0
3890,72,1.118,1259,0.071,3,0.806,17785.0,44,1,0
1651,32,1.0,1400,0.574,3,0.779,2437.0,62,3,0
1453,26,0.13,512,0.035,2,0.176,14839.0,49,2,1
3892,69,0.408,834,0.294,6,0.427,2837.0,42,1,0
4412,87,0.706,1005,0.111,4,0.568,9025.0,53,3,0
1516,44,0.63,2052,0.11,5,0.5,18693.0,40,3,0
4139,69,0.865,0,0.0,2,0.919,5338.0,56,3,0
4724,60,0.395,0,0.0,2,0.999,2710.0,51,3,1
1783,40,0.481,327,0.227,5,0.528,1438.3,51,1,1
16078,105,0.615,1300,0.309,3,0.75,4209.0,45,2,0
8764,69,0.683,2186,0.511,4,0.804,4277.0,41,2,1
4795,92,0.673,1344,0.039,4,0.523,34516.0,44,3,0
1397,43,0.483,847,0.589,5,0.436,1438.3,61,3,0
4428,78,0.696,0,0.0,4,0.905,5056.0,45,3,0
4490,65,0.625,0,0.0,5,0.646,1438.3,48,3,0
5002,78,0.66,1434,0.071,3,0.543,20231.0,53,1,0
1579,40,0.6,727,0.027,5,0.687,26945.0,38,1,0
13796,121,0.833,1971,0.061,1,0.671,32089.0,39,1,0
2312,44,0.467,168,0.112,3,0.671,1506.0,44,1,1
1902,56,0.931,0,0.0,4,0.838,5176.0,49,1,0
4072,72,0.756,0,0.0,6,0.705,1936.0,51,3,0
3749,61,0.743,0,0.0,6,0.758,25060.0,40,3,0
1531,31,0.107,0,0.0,3,0.212,2540.0,44,1,1
4037,69,1.029,1430,0.205,3,0.95,6968.0,55,0,0
2014,54,0.8,204,0.044,3,0.685,4650.0,41,2,1
1979,38,0.462,243,0.075,4,0.433,3223.0,45,2,1
4277,90,0.636,0,0.0,3,0.572,2708.0,40,3,0
1219,35,1.333,1867,0.758,6,0.6,2464.0,48,3,0
1676,36,0.714,2323,0.08,6,0.671,29003.0,45,3,0
5138,84,0.68,0,0.0,2,0.642,1530.0,43,3,0
4495,67,0.718,1300,0.81,5,0.95,1605.0,48,1,0
7321,73,0.659,2077,0.397,1,0.656,5238.0,40,0,0
4524,70,0.667,0,0.0,3,0.747,3228.0,44,1,0
3953,65,0.711,1687,0.278,3,0.563,6060.0,52,2,0
7512,81,0.688,1588,0.046,1,0.745,34516.0,52,3,0
1615,36,0.333,1695,0.687,6,0.842,2469.0,31,3,0
4754,77,0.674,2171,0.105,2,0.842,20749.0,41,2,0
4143,67,0.595,1008,0.618,5,0.695,1630.0,33,1,0
1616,32,0.455,477,0.081,3,1.015,5894.0,65,1,1
7572,56,0.697,1723,0.05,1,0.429,34162.0,50,1,1
3651,60,0.818,1482,0.434,6,0.705,3417.0,51,1,0
4928,79,0.646,2047,0.545,3,1.108,3758.0,40,2,0
1388,35,0.667,1111,0.074,5,0.846,14915.0,56,3,0
14696,114,0.966,1381,0.04,2,0.949,34516.0,46,0,0
1507,33,0.222,0,0.0,5,0.101,6568.0,46,0,1
13432,107,0.981,1917,0.136,2,0.653,14072.0,49,2,0
1947,28,0.556,0,0.0,3,0.502,1561.0,47,3,1
4396,78,0.814,1848,0.711,4,0.547,2598.0,49,3,0
1028,21,1.625,1291,0.095,4,0.653,13535.0,41,3,0
2574,65,0.625,1153,0.049,4,0.666,23622.0,37,1,0
2652,61,0.743,836,0.037,3,0.889,22886.0,34,1,0
1591,35,0.75,0,0.0,5,1.009,31864.0,42,3,0
1565,28,1.545,1662,0.086,3,1.186,19270.0,57,3,0
2376,55,0.486,2517,0.073,3,0.7,34516.0,49,1,1
4934,76,0.949,1680,0.369,6,0.628,4559.0,44,1,0
2315,43,0.303,897,0.059,6,0.494,15109.0,47,1,1
1338,29,2.222,1594,0.755,3,1.204,2112.0,54,3,0
2579,51,0.594,0,0.0,6,0.894,8791.0,32,3,1
4641,65,0.711,1374,0.346,4,0.703,3968.0,55,1,0
1631,31,0.824,2318,0.651,5,1.265,3558.0,63,3,0
4134,60,0.765,1792,0.184,4,0.626,9758.0,50,1,0
2967,80,0.739,1245,0.128,4,1.079,9735.0,36,2,0
3971,66,0.784,628,0.065,3,0.695,9589.0,51,3,0
597,17,0.7,2517,0.076,6,0.658,32975.0,46,1,1
4821,77,0.711,1506,0.705,3,0.883,2135.0,50,1,0
1593,46,0.484,1335,0.099,4,0.814,13473.0,47,3,0
4331,63,0.5,1797,0.745,4,0.607,2411.0,42,3,0
4490,68,0.789,1863,0.288,4,0.399,6465.0,50,3,0
1711,36,0.44,2156,0.793,6,0.668,2718.0,39,1,0
4929,74,0.574,0,0.0,5,0.765,3424.0,50,0,0
1488,30,0.579,794,0.263,5,0.5,3014.0,54,3,0
4224,75,1.027,1085,0.508,6,0.656,2134.0,41,3,0
4871,75,1.027,2290,0.22,1,1.122,10417.0,50,0,0
2017,43,0.955,760,0.482,6,0.709,1578.0,39,3,0
2324,67,1.03,1741,0.305,5,0.816,5715.0,31,1,0
1414,27,0.929,2222,0.263,6,0.691,8434.0,39,0,0
4529,73,0.872,1829,0.369,3,0.671,4950.0,52,3,0
4917,81,0.653,1935,0.719,3,0.593,2690.0,40,1,0
1971,56,0.6,0,0.0,4,1.075,5391.0,31,1,0
2847,61,0.968,979,0.602,6,1.467,1626.0,35,3,0
4775,84,0.787,1966,0.809,6,1.046,2429.0,41,1,0
1914,33,0.5,1193,0.262,3,0.445,4549.0,35,3,0
4389,84,0.68,1399,0.108,3,0.507,12944.0,37,1,0
2916,50,0.724,1463,0.094,4,1.28,15488.0,36,3,0
3244,58,1.0,1207,0.168,3,0.657,7184.0,49,2,0
4883,42,0.5,0,0.0,1,0.983,10908.0,44,3,1
4693,82,0.608,0,0.0,3,0.853,4182.0,50,1,0
4666,98,0.719,0,0.0,3,0.783,1912.0,55,1,0
4050,58,0.611,1433,0.868,6,0.985,1651.0,63,0,0
2457,54,1.0,773,0.045,4,1.238,17162.0,38,3,0
4201,73,0.587,0,0.0,6,0.732,5794.0,55,3,0
3546,65,0.548,2013,0.344,6,0.478,5844.0,62,1,0
2176,39,0.56,1008,0.143,3,0.639,7050.0,50,2,1
1150,26,0.625,877,0.059,5,0.772,14910.0,44,1,0
5242,81,1.382,1734,0.372,5,0.789,4661.0,57,3,0
4182,76,1.171,0,0.0,2,0.63,7434.0,42,3,0
1127,29,0.381,861,0.084,2,0.78,10244.0,57,1,1
4599,75,0.471,2512,0.688,3,0.739,3650.0,44,1,0
5128,74,0.947,0,0.0,4,0.998,2533.0,39,1,0
14738,94,0.709,2005,0.375,2,0.682,5342.0,31,3,0
3992,57,0.727,1611,0.524,6,0.682,3072.0,46,3,0
7412,60,0.579,159,0.032,1,0.592,4930.0,46,3,1
4127,71,0.479,2417,0.682,6,0.687,3542.0,57,3,0
5223,84,0.909,0,0.0,6,0.822,5013.0,49,3,0
4396,78,0.95,1240,0.559,5,0.906,2220.0,58,3,0
1483,36,0.5,666,0.352,1,0.691,1890.0,35,1,1
1910,51,0.7,1553,0.776,4,0.482,2001.0,55,1,0
2659,63,0.75,925,0.573,6,0.598,1614.0,32,1,0
1154,33,0.571,1753,0.654,3,0.32,2680.0,51,1,0
5416,76,0.9,878,0.243,4,0.777,3617.0,56,3,0
13767,96,0.655,1930,0.223,1,0.933,8670.0,45,0,0
3669,62,1.138,2235,0.529,4,0.863,4223.0,52,3,0
1424,29,1.417,1880,0.422,4,1.107,4458.0,56,3,0
7111,82,0.608,2452,0.071,2,0.707,34516.0,51,3,0
5136,81,0.8,986,0.686,5,0.649,1438.3,45,1,0
2293,36,0.8,2517,0.303,6,1.743,8307.0,50,2,0
5674,78,0.857,924,0.159,1,0.86,5795.0,34,3,0
1741,27,0.588,1430,0.626,6,2.316,2283.0,56,3,0
1038,25,2.571,1811,0.658,3,0.977,2753.0,53,3,0
1785,33,0.32,0,0.0,4,0.639,1438.3,55,0,1
4503,67,0.811,1686,0.65,5,0.624,2594.0,43,1,0
2337,69,0.605,789,0.026,5,0.833,29961.0,32,2,0
837,18,1.0,0,0.0,2,0.433,27992.0,33,3,1
1345,34,0.619,0,0.0,3,0.535,33405.0,41,3,0
2057,54,0.421,1427,0.277,6,0.48,5156.0,33,1,0
4808,64,0.684,666,0.433,3,0.642,1538.0,52,1,0
7910,95,0.557,2296,0.093,2,0.808,24735.0,50,3,0
4835,77,0.75,683,0.186,2,0.85,3680.0,37,1,0
3928,75,0.744,0,0.0,4,0.773,5702.0,43,3,0
901,35,0.522,0,0.0,2,0.917,2536.0,58,3,1
2060,39,0.625,0,0.0,3,0.544,18229.0,43,0,1
2535,51,0.759,1726,0.246,4,1.178,7023.0,65,3,0
1409,34,0.619,1980,0.162,3,0.616,12208.0,57,3,0
3994,64,0.778,1404,0.646,5,0.633,2175.0,61,1,0
1723,44,0.375,0,0.0,3,0.447,4281.0,51,1,1
654,14,0.4,0,0.0,2,0.885,16867.0,56,1,1
9931,70,0.75,0,0.0,4,1.007,34516.0,55,1,1
3358,62,0.722,1043,0.206,4,0.667,5071.0,41,3,0
4228,93,0.788,0,0.0,4,0.785,12398.0,58,3,0
14264,118,0.873,0,0.0,2,0.684,3773.0,60,3,0
1762,34,0.7,1410,0.464,4,0.644,3038.0,57,3,0
15240,102,0.729,1595,0.261,5,0.619,6104.0,35,1,0
3250,70,0.591,2073,0.643,4,1.035,3226.0,65,1,0
4449,77,0.878,1077,0.352,3,0.934,3057.0,56,1,0
4139,67,0.914,1258,0.276,5,0.764,4565.0,52,3,0
1053,31,0.55,1669,0.645,3,0.788,2588.0,43,2,0
4648,80,0.778,1089,0.347,6,1.034,3139.0,43,1,0
4460,62,0.722,2491,0.823,6,0.45,3025.0,46,0,0
2421,63,0.575,1731,0.05,3,0.605,34516.0,34,1,0
4759,98,0.719,0,0.0,4,0.854,1513.0,50,3,0
3691,77,0.51,0,0.0,5,0.562,1438.3,49,3,0
1107,21,1.625,865,0.057,5,0.939,15088.0,42,3,0
5425,60,0.875,0,0.0,4,1.043,34516.0,44,3,1
2213,62,0.771,0,0.0,6,0.847,7478.0,65,1,0
4884,89,0.618,2517,0.872,3,0.841,2886.0,51,3,0
1392,33,0.737,2457,0.994,5,0.693,2472.0,57,3,0
1374,32,0.391,1306,0.398,5,0.399,3278.0,59,3,0
1165,33,0.833,1539,0.123,5,0.645,12518.0,45,3,0
3929,66,0.737,1246,0.093,4,1.055,13429.0,38,1,0
4188,75,0.667,2114,0.657,4,0.655,3219.0,56,1,0
2170,41,0.464,0,0.0,6,0.782,1438.3,49,3,0
7491,86,0.72,1601,0.046,1,0.686,34516.0,44,0,0
4928,77,0.638,1229,0.552,2,0.784,2226.0,45,3,0
1844,49,0.633,2517,0.814,1,0.602,3091.0,58,1,1
9865,65,0.711,0,0.0,2,1.411,29295.0,41,1,1
4806,81,0.653,0,0.0,4,0.782,3585.0,53,0,0
1347,27,0.421,2517,0.277,3,0.37,9095.0,51,3,0
4442,85,0.771,1764,0.686,5,0.786,2570.0,46,0,0
2050,51,0.821,0,0.0,6,0.519,5501.0,54,1,1
4837,87,0.673,2517,0.64,5,0.682,3934.0,56,1,0
4531,86,0.83,0,0.0,5,0.923,3208.0,49,3,0
1561,26,1.0,2005,0.159,3,0.996,12588.0,40,0,0
2409,38,0.31,134,0.017,2,0.717,8018.0,52,3,1
5173,64,0.6,991,0.196,5,0.736,5068.0,50,1,0
836,18,0.385,1628,0.299,2,0.696,5449.0,47,3,1
4588,74,0.762,745,0.094,1,0.714,7884.0,48,3,0
1296,31,0.348,2281,0.669,5,0.518,3410.0,50,0,0
4245,74,0.897,585,0.069,1,0.624,8482.0,41,1,0
1340,25,0.923,1603,0.149,4,0.471,10747.0,44,3,0
1008,21,0.4,2088,0.605,5,0.768,3452.0,58,3,0
4121,81,0.761,2183,0.101,3,0.995,21670.0,42,0,0
1919,38,0.52,1767,0.254,2,0.54,6967.0,42,3,1
4583,86,0.911,0,0.0,2,0.709,4637.0,53,3,0
2231,60,0.875,2517,0.86,3,0.419,2927.0,53,3,1
4284,74,0.682,2414,0.455,5,0.779,5302.0,36,3,0
1718,37,0.276,2517,0.647,4,0.405,3889.0,44,3,1
4494,82,0.708,0,0.0,2,0.728,1438.3,43,1,0
1659,39,1.167,1889,0.132,3,1.053,14308.0,32,3,0
1101,37,0.276,2517,0.197,3,0.892,12804.0,41,3,0
8045,71,0.868,2292,0.066,5,0.876,34516.0,50,3,1
4730,82,0.708,2340,0.903,5,0.608,2591.0,33,3,0
4654,88,0.66,557,0.02,5,0.768,27876.0,50,1,0
4470,58,0.812,0,0.0,4,0.599,3828.0,60,0,0
1409,39,0.345,1092,0.032,3,0.737,34516.0,46,3,0
4053,85,0.635,1732,0.601,5,0.638,2883.0,45,3,0
4355,78,0.857,0,0.0,4,0.703,6018.0,39,1,0
4231,62,0.55,1762,0.103,2,0.409,17096.0,57,1,0
8078,62,0.722,0,0.0,3,0.873,7428.0,51,3,1
3853,71,0.775,2517,0.207,4,0.864,12154.0,41,3,0
4536,85,0.889,1143,0.607,5,0.638,1882.0,47,3,0
4804,78,0.814,727,0.271,5,0.894,2679.0,44,3,0
14544,116,1.148,1821,0.102,2,0.687,17887.0,42,1,0
14378,103,0.717,0,0.0,1,0.96,8426.0,54,3,0
3756,70,0.842,659,0.181,4,0.938,3640.0,50,3,0
7437,94,0.709,2410,0.454,1,0.738,5306.0,42,1,0
4758,67,0.558,1787,0.568,2,0.685,3144.0,40,3,0
4538,82,1.05,0,0.0,6,0.53,1438.3,49,1,0
2447,40,0.429,1760,0.427,5,0.869,4123.0,51,3,1
4283,69,0.605,658,0.11,3,0.638,5999.0,45,1,0
2307,45,0.8,845,0.371,3,1.328,2278.0,57,3,0
2383,59,0.595,1048,0.077,6,0.509,13655.0,35,1,0
9042,122,0.605,1506,0.053,1,0.818,28307.0,48,3,0
4021,56,0.806,2517,0.222,3,0.751,11352.0,62,2,0
2645,63,0.8,0,0.0,3,0.596,8012.0,48,1,0
1753,49,0.441,961,0.111,5,0.551,8694.0,45,1,0
4855,79,0.58,2506,0.718,6,0.873,3491.0,41,2,0
803,15,0.875,2517,0.571,2,0.988,4411.0,41,1,1
4560,84,1.049,913,0.275,6,0.612,3319.0,53,3,0
1233,35,0.4,1928,0.606,5,0.509,3182.0,60,3,0
3877,75,0.744,918,0.129,3,0.56,7093.0,51,0,0
1542,45,0.607,0,0.0,2,0.493,2339.0,56,1,1
1387,18,0.8,2248,0.39,3,1.791,5771.0,45,3,0
2208,56,0.806,0,0.0,5,0.935,7997.0,29,1,0
1869,47,0.567,2517,0.881,6,0.871,2857.0,55,3,0
1309,40,0.6,1761,0.264,3,0.489,6658.0,53,3,0
3127,45,1.25,1701,0.666,5,1.492,2555.0,52,1,0
4342,73,1.147,2351,0.919,4,0.807,2557.0,49,3,0
4257,89,0.648,0,0.0,6,0.651,1438.3,44,3,0
2033,38,0.727,1528,0.135,4,1.142,11327.0,38,3,0
3857,70,0.75,1074,0.634,6,0.78,1694.0,42,3,0
16392,116,0.657,1444,0.042,4,0.568,34516.0,57,3,0
2617,54,0.8,1955,0.342,5,0.969,5712.0,34,1,0
7930,91,0.542,2129,0.071,1,0.769,30117.0,42,3,0
1670,33,0.65,0,0.0,3,0.548,3519.0,53,3,0
3228,82,0.708,1197,0.364,5,0.672,3291.0,47,3,0
1612,39,1.438,1727,0.075,4,0.693,23138.0,40,2,0
3672,59,0.553,2082,0.731,3,0.787,2847.0,51,1,0
2901,75,0.923,2517,0.073,6,0.791,34516.0,34,1,0
3438,66,0.784,1584,0.639,4,0.874,2480.0,57,0,0
4240,73,0.587,2057,0.249,5,0.821,8264.0,50,1,0
2367,41,0.519,2517,0.809,5,0.646,3111.0,36,0,1
2234,49,0.361,1964,0.057,2,0.624,34516.0,45,3,1
4609,80,0.951,1792,0.181,4,0.804,9880.0,46,3,0
4714,81,0.8,2302,0.845,2,0.876,2725.0,39,3,0
2250,40,0.905,772,0.537,4,1.451,1438.3,47,3,0
4747,91,0.936,1549,0.618,6,0.752,2506.0,49,3,0
5298,72,0.714,860,0.149,1,0.708,5756.0,47,1,0
1306,32,0.28,1540,0.148,3,0.547,10378.0,57,3,0
5011,61,0.743,1566,0.634,2,0.811,2470.0,41,1,0
3906,78,0.592,913,0.091,3,0.568,10024.0,39,1,0
4510,59,0.903,582,0.102,4,0.817,5724.0,48,1,0
3781,66,0.61,0,0.0,4,0.486,23898.0,51,2,0
3939,60,0.875,642,0.062,5,0.553,10317.0,52,3,0
1911,47,0.958,1411,0.925,4,0.66,1525.0,53,3,0
5035,76,0.767,0,0.0,6,0.777,1438.3,48,1,0
14414,98,0.815,1172,0.26,2,0.706,4512.0,40,0,0
1783,40,0.667,0,0.0,4,0.855,6370.0,46,3,0
16027,112,0.723,2517,0.613,3,0.779,4107.0,48,2,0
1558,46,0.643,2320,0.391,3,0.544,5927.0,52,1,0
4275,77,0.833,1485,0.184,6,0.872,8063.0,45,1,0
4094,64,0.561,786,0.546,4,0.609,1438.3,49,3,0
4347,69,0.683,0,0.0,3,0.789,4786.0,46,3,0
1280,34,1.0,1361,0.636,4,0.46,2140.0,64,3,0
1887,32,0.882,2517,0.118,6,0.818,21351.0,55,3,0
1842,50,0.852,1201,0.14,5,0.778,8592.0,29,3,0
4833,82,0.673,1579,0.356,6,0.836,4430.0,53,3,0
4374,75,0.974,1410,0.566,3,0.835,2492.0,50,3,0
4301,86,0.72,1018,0.598,6,0.645,1702.0,37,1,0
4660,85,0.735,0,0.0,3,0.708,14728.0,45,3,0
2297,44,0.63,0,0.0,3,0.657,1745.0,48,3,1
4491,65,0.667,1944,0.728,6,0.628,2670.0,50,1,0
4656,88,0.796,2296,0.444,3,0.773,5169.0,42,1,0
14969,96,0.811,1984,0.057,1,0.757,34516.0,31,2,0
1599,38,0.652,1935,0.159,6,0.435,12169.0,54,3,0
4453,75,0.923,2432,0.884,6,0.905,2751.0,45,2,0
3014,58,0.706,1898,0.305,5,1.103,6224.0,39,3,0
4588,68,0.7,0,0.0,4,0.824,1677.0,55,3,0
2252,51,0.645,872,0.561,3,0.772,1555.0,35,3,1
4442,64,0.829,2118,0.763,5,1.036,2777.0,45,3,0
3524,69,0.605,0,0.0,4,0.716,3065.0,55,1,0
3680,80,0.951,0,0.0,5,0.956,3469.0,50,3,0
4436,83,0.804,1588,0.32,2,0.669,4970.0,43,1,0
2497,74,0.609,1945,0.23,5,0.703,8444.0,37,1,0
1444,28,1.333,0,0.0,3,1.621,34516.0,49,1,0
2653,46,0.586,2517,0.867,3,0.624,2904.0,35,1,1
1346,30,1.308,1747,0.722,3,0.691,2421.0,40,3,0
2828,46,0.484,2517,0.423,3,0.877,5956.0,36,1,1
4731,82,0.822,0,0.0,4,0.631,3206.0,50,1,0
3739,53,0.963,0,0.0,3,0.651,4546.0,51,1,0
4073,79,0.881,0,0.0,6,0.766,19629.0,45,2,0
2864,51,0.759,471,0.019,3,0.85,24621.0,59,1,1
4240,60,0.622,0,0.0,5,0.776,1964.0,36,1,0
5101,76,0.617,1303,0.572,3,0.645,2278.0,35,3,0
4132,70,0.667,2093,0.702,3,0.522,2980.0,36,1,0
3203,64,0.829,0,0.0,3,0.532,6103.0,51,1,0
4220,66,0.61,1959,0.614,2,0.622,3190.0,34,1,0
4887,76,0.617,1542,0.746,2,0.71,2066.0,41,3,0
1829,42,0.312,1369,0.121,3,0.585,11328.0,42,1,1
1585,32,0.455,0,0.0,3,0.399,1438.3,38,1,1
4162,87,0.812,0,0.0,6,0.781,2583.0,39,3,0
1795,37,0.48,1965,0.15,5,0.695,13131.0,45,0,0
2675,47,1.136,0,0.0,4,1.454,6369.0,37,3,0
2718,44,0.63,0,0.0,4,0.903,6314.0,41,1,1
4451,70,0.429,989,0.163,5,1.222,6081.0,52,1,0
15763,97,0.83,1532,0.254,2,0.867,6024.0,57,1,0
2613,41,0.708,896,0.484,6,0.724,1850.0,47,3,1
1279,41,0.708,0,0.0,6,0.757,16320.0,53,1,0
2528,41,0.64,0,0.0,3,0.806,1507.0,42,0,1
3878,63,0.703,0,0.0,5,0.802,1495.0,48,3,0
9065,85,0.735,831,0.126,1,0.707,6616.0,52,1,0
14881,109,0.703,1996,0.555,3,0.795,3594.0,48,1,0
4068,66,0.61,2087,0.263,4,0.754,7942.0,34,3,0
1916,40,0.538,1553,0.101,4,0.747,15428.0,57,3,0
4758,65,0.512,593,0.025,2,0.987,23981.0,43,3,1
5758,87,0.706,1049,0.375,1,0.89,2798.0,42,0,0
4235,73,0.825,1494,0.513,4,0.861,2915.0,58,1,0
1651,43,0.344,2126,0.31,5,0.611,6849.0,52,3,0
2054,55,0.774,0,0.0,3,0.651,1818.0,39,1,1
2631,41,0.64,0,0.0,3,0.726,15195.0,46,3,1
3447,74,0.85,1211,0.234,6,0.809,5180.0,50,1,0
4797,88,0.913,0,0.0,5,0.785,1449.0,48,1,0
4006,72,0.946,0,0.0,5,1.126,1438.3,35,1,0
2866,47,0.469,0,0.0,6,0.645,1897.0,43,3,1
3996,71,0.543,1319,0.106,3,0.655,12463.0,26,0,0
4233,81,0.884,1023,0.542,3,0.708,1886.0,55,1,0
2510,47,0.621,2517,0.721,5,0.6,3492.0,43,3,1
4498,85,0.635,1721,0.067,6,0.592,25658.0,48,3,0
2639,53,0.71,2517,0.708,4,0.651,3556.0,43,2,1
1750,35,1.333,913,0.36,4,1.059,2536.0,39,3,0
1786,37,0.37,479,0.333,4,0.553,1438.3,26,1,0
4596,78,0.5,0,0.0,4,0.763,5351.0,51,1,0
5041,74,0.805,1228,0.042,5,0.722,29100.0,62,0,0
1424,38,0.583,0,0.0,2,0.512,13162.0,45,1,1
4488,84,0.826,0,0.0,6,0.827,1438.3,51,1,0
5843,60,0.176,0,0.0,4,0.311,5989.0,40,1,1
4673,69,0.568,797,0.554,4,0.87,1438.3,52,1,0
1540,30,0.429,753,0.145,5,0.591,5188.0,56,3,0
4020,84,0.68,1074,0.368,6,0.774,2916.0,48,3,0
2901,59,1.36,2220,0.822,3,1.595,2700.0,39,3,0
5007,91,0.655,874,0.09,5,0.775,9716.0,50,2,0
799,17,0.214,0,0.0,2,0.672,1438.3,53,1,1
1287,37,0.48,1624,0.735,3,0.627,2210.0,58,3,0
1969,38,0.52,1047,0.287,4,0.633,3646.0,48,2,1
4138,85,0.771,0,0.0,5,0.611,2225.0,45,3,0
5064,74,0.85,0,0.0,5,0.681,2822.0,47,3,0
4750,72,0.756,1307,0.744,3,0.769,1757.0,49,2,0
701,19,0.727,0,0.0,3,0.98,2442.0,46,3,1
4275,61,0.649,1268,0.647,6,0.731,1959.0,41,3,0
1569,33,0.269,1622,0.353,5,0.425,4589.0,55,3,0
2396,49,0.531,2480,0.919,5,0.686,2700.0,48,0,1
4375,69,0.605,0,0.0,3,0.641,1688.0,53,3,0
1428,22,1.444,1687,0.214,4,1.242,7871.0,59,3,0
1505,33,0.737,774,0.403,4,0.965,1919.0,48,2,0
4900,81,0.8,1682,0.324,6,0.888,5190.0,31,2,0
3226,53,0.71,1266,0.156,4,0.615,8101.0,46,1,0
748,20,0.429,0,0.0,1,0.659,4503.0,53,3,1
15313,91,0.784,2517,0.743,5,0.919,3388.0,52,2,0
8080,92,0.704,2517,0.412,1,0.74,6103.0,62,2,0
3048,54,0.688,0,0.0,6,0.884,3933.0,62,1,0
1088,26,1.167,2517,0.221,3,1.015,11374.0,61,3,1
4503,80,0.667,0,0.0,6,0.687,15982.0,56,1,0
3911,80,0.778,1545,0.807,2,0.775,1915.0,49,3,0
4833,71,0.69,1127,0.583,2,0.705,1933.0,42,1,0
2182,40,0.429,0,0.0,5,0.718,3899.0,47,3,1
1985,38,0.407,1030,0.716,5,0.609,1438.3,53,1,1
14470,103,0.746,1556,0.47,5,0.652,3311.0,38,1,0
2167,48,0.412,673,0.468,6,0.595,1438.3,26,1,0
2567,70,0.795,2517,0.117,3,0.813,21590.0,30,1,0
1881,51,0.417,1956,0.23,6,0.963,8504.0,37,0,0
1742,41,0.323,0,0.0,5,0.723,15942.0,49,0,0
2493,44,0.913,1278,0.112,5,1.31,11444.0,38,3,0
